 -----------------------------------------------------------------------
 |   blk,thd:: |    bestBlk  |  px_per_blk |    bstThd   |  px_per_thd | 
 -----------------------------------------------------------------------
 |   1,    1:: |    1 x    1 | 2000 x 1000 |    1 x    1 | 2000 x 1000 |
 |   1,    2:: |    1 x    1 | 2000 x 1000 |    1 x    2 | 2000 x  500 |
 |   1,    4:: |    1 x    1 | 2000 x 1000 |    1 x    4 | 2000 x  250 |
 |   1,    5:: |    1 x    1 | 2000 x 1000 |    1 x    5 | 2000 x  200 |
 |   1,    8:: |    1 x    1 | 2000 x 1000 |    1 x    8 | 2000 x  125 |
 |   1,   10:: |    1 x    1 | 2000 x 1000 |    1 x   10 | 2000 x  100 |
 |   1,   16:: |    1 x    1 | 2000 x 1000 |    1 x   16 | 2000 x   62 |
 |   1,   20:: |    1 x    1 | 2000 x 1000 |    1 x   20 | 2000 x   50 |
 |   1,   25:: |    1 x    1 | 2000 x 1000 |    1 x   25 | 2000 x   40 |
 |   1,   32:: |    1 x    1 | 2000 x 1000 |    1 x   32 | 2000 x   31 |
 |   1,   40:: |    1 x    1 | 2000 x 1000 |    1 x   40 | 2000 x   25 |
 |   1,   50:: |    1 x    1 | 2000 x 1000 |    1 x   50 | 2000 x   20 |
 |   1,   64:: |    1 x    1 | 2000 x 1000 |    1 x   64 | 2000 x   15 |
 |   1,   80:: |    1 x    1 | 2000 x 1000 |    1 x   80 | 2000 x   12 |
 |   1,  100:: |    1 x    1 | 2000 x 1000 |    1 x  100 | 2000 x   10 |
 |   1,  125:: |    1 x    1 | 2000 x 1000 |    1 x  125 | 2000 x    8 |
 |   1,  128:: |    1 x    1 | 2000 x 1000 |    1 x  128 | 2000 x    7 |
 |   1,  160:: |    1 x    1 | 2000 x 1000 |    1 x  160 | 2000 x    6 |
 |   1,  200:: |    1 x    1 | 2000 x 1000 |    1 x  200 | 2000 x    5 |
 |   1,  250:: |    1 x    1 | 2000 x 1000 |    1 x  250 | 2000 x    4 |
 |   1,  320:: |    1 x    1 | 2000 x 1000 |    1 x  320 | 2000 x    3 |
 |   1,  400:: |    1 x    1 | 2000 x 1000 |    1 x  400 | 2000 x    2 |
 |   1,  500:: |    1 x    1 | 2000 x 1000 |    1 x  500 | 2000 x    2 |
 |   1,  625:: |    1 x    1 | 2000 x 1000 |    1 x  625 | 2000 x    1 |
 |   1,  640:: |    1 x    1 | 2000 x 1000 |    1 x  640 | 2000 x    1 |
 |   1,  800:: |    1 x    1 | 2000 x 1000 |    1 x  800 | 2000 x    1 |
 |   1, 1000:: |    1 x    1 | 2000 x 1000 |    1 x 1000 | 2000 x    1 |
 |   2,    1:: |    1 x    2 | 2000 x  500 |    1 x    1 | 2000 x  500 |
 |   2,    2:: |    1 x    2 | 2000 x  500 |    1 x    2 | 2000 x  250 |
 |   2,    4:: |    1 x    2 | 2000 x  500 |    1 x    4 | 2000 x  125 |
 |   2,    5:: |    1 x    2 | 2000 x  500 |    1 x    5 | 2000 x  100 |
 |   2,    8:: |    1 x    2 | 2000 x  500 |    1 x    8 | 2000 x   62 |
 |   2,   10:: |    1 x    2 | 2000 x  500 |    1 x   10 | 2000 x   50 |
 |   2,   16:: |    1 x    2 | 2000 x  500 |    1 x   16 | 2000 x   31 |
 |   2,   20:: |    1 x    2 | 2000 x  500 |    1 x   20 | 2000 x   25 |
 |   2,   25:: |    1 x    2 | 2000 x  500 |    1 x   25 | 2000 x   20 |
 |   2,   32:: |    1 x    2 | 2000 x  500 |    1 x   32 | 2000 x   15 |
 |   2,   40:: |    1 x    2 | 2000 x  500 |    1 x   40 | 2000 x   12 |
 |   2,   50:: |    1 x    2 | 2000 x  500 |    1 x   50 | 2000 x   10 |
 |   2,   64:: |    1 x    2 | 2000 x  500 |    1 x   64 | 2000 x    7 |
 |   2,   80:: |    1 x    2 | 2000 x  500 |    1 x   80 | 2000 x    6 |
 |   2,  100:: |    1 x    2 | 2000 x  500 |    1 x  100 | 2000 x    5 |
 |   2,  125:: |    1 x    2 | 2000 x  500 |    1 x  125 | 2000 x    4 |
 |   2,  160:: |    1 x    2 | 2000 x  500 |    1 x  160 | 2000 x    3 |
 |   2,  200:: |    1 x    2 | 2000 x  500 |    1 x  200 | 2000 x    2 |
 |   2,  250:: |    1 x    2 | 2000 x  500 |    1 x  250 | 2000 x    2 |
 |   2,  320:: |    1 x    2 | 2000 x  500 |    1 x  320 | 2000 x    1 |
 |   2,  400:: |    1 x    2 | 2000 x  500 |    1 x  400 | 2000 x    1 |
 |   2,  500:: |    1 x    2 | 2000 x  500 |    1 x  500 | 2000 x    1 |
 |   2,  625:: |    1 x    2 | 2000 x  500 |    5 x  125 |  400 x    4 |
 |   2,  800:: |    1 x    2 | 2000 x  500 |    2 x  400 | 1000 x    1 |
 |   2, 1000:: |    1 x    2 | 2000 x  500 |    2 x  500 | 1000 x    1 |
 |   4,    1:: |    1 x    4 | 2000 x  250 |    1 x    1 | 2000 x  250 |
 |   4,    2:: |    1 x    4 | 2000 x  250 |    1 x    2 | 2000 x  125 |
 |   4,    4:: |    1 x    4 | 2000 x  250 |    1 x    4 | 2000 x   62 |
 |   4,    5:: |    1 x    4 | 2000 x  250 |    1 x    5 | 2000 x   50 |
 |   4,    8:: |    1 x    4 | 2000 x  250 |    1 x    8 | 2000 x   31 |
 |   4,   10:: |    1 x    4 | 2000 x  250 |    1 x   10 | 2000 x   25 |
 |   4,   16:: |    1 x    4 | 2000 x  250 |    1 x   16 | 2000 x   15 |
 |   4,   20:: |    1 x    4 | 2000 x  250 |    1 x   20 | 2000 x   12 |
 |   4,   25:: |    1 x    4 | 2000 x  250 |    1 x   25 | 2000 x   10 |
 |   4,   32:: |    1 x    4 | 2000 x  250 |    1 x   32 | 2000 x    7 |
 |   4,   40:: |    1 x    4 | 2000 x  250 |    1 x   40 | 2000 x    6 |
 |   4,   50:: |    1 x    4 | 2000 x  250 |    1 x   50 | 2000 x    5 |
 |   4,   80:: |    1 x    4 | 2000 x  250 |    1 x   80 | 2000 x    3 |
 |   4,  100:: |    1 x    4 | 2000 x  250 |    1 x  100 | 2000 x    2 |
 |   4,  125:: |    1 x    4 | 2000 x  250 |    1 x  125 | 2000 x    2 |
 |   4,  160:: |    1 x    4 | 2000 x  250 |    1 x  160 | 2000 x    1 |
 |   4,  200:: |    1 x    4 | 2000 x  250 |    1 x  200 | 2000 x    1 |
 |   4,  250:: |    1 x    4 | 2000 x  250 |    1 x  250 | 2000 x    1 |
 |   4,  400:: |    1 x    4 | 2000 x  250 |    2 x  200 | 1000 x    1 |
 |   4,  500:: |    1 x    4 | 2000 x  250 |    2 x  250 | 1000 x    1 |
 |   4,  625:: |    1 x    4 | 2000 x  250 |    5 x  125 |  400 x    2 |
 |   4,  800:: |    1 x    4 | 2000 x  250 |    4 x  200 |  500 x    1 |
 |   4, 1000:: |    1 x    4 | 2000 x  250 |    4 x  250 |  500 x    1 |
 |   5,    1:: |    1 x    5 | 2000 x  200 |    1 x    1 | 2000 x  200 |
 |   5,    2:: |    1 x    5 | 2000 x  200 |    1 x    2 | 2000 x  100 |
 |   5,    4:: |    1 x    5 | 2000 x  200 |    1 x    4 | 2000 x   50 |
 |   5,    5:: |    1 x    5 | 2000 x  200 |    1 x    5 | 2000 x   40 |
 |   5,    8:: |    1 x    5 | 2000 x  200 |    1 x    8 | 2000 x   25 |
